ts,ticks
2026-01-04,13649
2026-01-05,404125
2026-01-06,389627
2026-01-07,391382
2026-01-08,388478
2026-01-09,342891
2026-01-11,12470
2026-01-12,399518
2026-01-13,372440
2026-01-14,400740
2026-01-15,402589
2026-01-16,343851
2026-01-18,21442
2026-01-19,217236
2026-01-20,349893
2026-01-21,439902
2026-01-22,336446
2026-01-23,315512
2026-01-25,17830
2026-01-26,546901
2026-01-27,508274
2026-01-28,625600
2026-01-29,727072
2026-01-30,823245
2026-02-01,16077
2026-02-02,846229
2026-02-03,642235
2026-02-04,531429
2026-02-05,662550
2026-02-06,452897
2026-02-08,19227
2026-02-09,361084
2026-02-10,331666
2026-02-11,328180
2026-02-12,358650
2026-02-13,317882
2026-02-15,14984
2026-02-16,144023
2026-02-17,324507
2026-02-18,218539
2026-02-19,217449
2026-02-20,264015
2026-02-22,16249
2026-02-23,295925
2026-02-24,306409
2026-02-25,260782
2026-02-26,284190
2026-02-27,323139
2026-03-01,24985
2026-03-02,436455
2026-03-03,554076
2026-03-04,413864
2026-03-05,376627
2026-03-06,336645
2026-03-08,51930
2026-03-09,416802
2026-03-10,313745
2026-03-11,296659
2026-03-12,298578
2026-03-13,287266
2026-03-15,34729
2026-03-16,323966
2026-03-17,257423
2026-03-18,363363
2026-03-19,537292
2026-03-20,484554
2026-03-22,40170
2026-03-23,794667
2026-03-24,703941
2026-03-25,425410
2026-03-26,480416
2026-03-27,339095
2026-03-29,37301
2026-03-30,383496
2026-03-31,419916
2026-04-01,363876
2026-04-02,476729
2026-04-05,37337
2026-04-06,316875
2026-04-07,494517
2026-04-08,387036
2026-04-09,296405
2026-04-10,260802
2026-04-12,35482
2026-04-13,283944
2026-04-14,287369
2026-04-15,272265
2026-04-16,262653
2026-04-17,279413
2026-04-19,30367
2026-04-20,283728
2026-04-21,358179
2026-04-22,281241
2026-04-23,443955
2026-04-24,386833
2026-04-26,17922
2026-04-27,312243
2026-04-28,420468
2026-04-29,436170
2026-04-30,444761
2026-05-01,303190
2026-05-03,15792
2026-05-04,393827
2026-05-05,308170
2026-05-06,410110
2026-05-07,492581
2026-05-08,362266
2026-05-10,18029
2026-05-11,375053
2026-05-12,425858
2026-05-13,366366
2026-05-14,411846
2026-05-15,525361
2026-05-17,24472
2026-05-18,519165
2026-05-19,433948
2026-05-20,454836
2026-05-21,473693
2026-05-22,370022
2026-05-24,32030
2026-05-25,187101
2026-05-26,376379
2026-05-27,368483
2026-05-28,392541
2026-05-29,272070
2026-05-31,16938
2026-06-01,288983
2026-06-02,280756
2026-06-03,323267
2026-06-04,337946
2026-06-05,424646
2026-06-07,32585
2026-06-08,426797
2026-06-09,442725
2026-06-10,512726
2026-06-11,512220
2026-06-12,382703
2026-06-14,24335
2026-06-15,288795
2026-06-16,288894
2026-06-17,344971
2026-06-18,364642
2026-06-19,203189
2026-06-21,23136
2026-06-22,333741
2026-06-23,412179
2026-06-24,443371
2026-06-25,428127
2026-06-26,365774
2026-06-28,23428
2026-06-29,350634
2026-06-30,340836
2026-07-01,315203
2026-07-02,372252
2026-07-03,195021
2026-07-05,17183
2026-07-06,281977
2026-07-07,318230
2026-07-08,489950
2026-07-09,323694
2026-07-10,263334
2026-07-12,19372
2026-07-13,397784
2026-07-14,349717
2026-07-15,367079
2026-07-16,429422
2026-07-17,414365
2026-07-19,14817
2026-07-20,382849
2026-07-21,305925
2026-07-22,386962
2026-07-23,379956
2026-07-24,245086
2026-07-26,7943
2026-07-27,208485
2026-07-28,161804
2026-07-29,253187
2026-07-30,285746
2026-07-31,221493
